"team1","team2","team1_score","team2_score","toss_winner","toss_choice","winner","margin","man_of_the_match","stadium","place","Home_Ground"
"Punjab Kings","Rajasthan Royals",139,112,"Punjab Kings","Bat","Punjab Kings","27 runs","Kumar Sangakkara","Newlands","Cape Town","Neutral"
"Chennai Super Kings","Sunrisers Hyderabad",165,169,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","6 wickets","Herschelle Gibbs","Kingsmead","Durban","Neutral"
"Mumbai Indians","Kolkata Knight Riders",187,95,"Mumbai Indians","Bat","Mumbai Indians","92 runs","Sachin Tendulkar","St George's Park","Port Elizabeth","Neutral"
"Delhi Capitals","Rajasthan Royals",143,147,"Delhi Capitals","Bat","Rajasthan Royals","5 wickets","Yusuf Pathan","SuperSport Park","Centurion","Neutral"
"Kolkata Knight Riders","Royal Challengers Bangalore",139,143,"Kolkata Knight Riders","Bat","Royal Challengers Bangalore","5 wickets","Mark Boucher","Kingsmead","Durban","Neutral"
"Punjab Kings","Mumbai Indians",119,116,"Punjab Kings","Bat","Punjab Kings","3 runs","Kumar Sangakkara","Kingsmead","Durban","Neutral"
"Sunrisers Hyderabad","Delhi Capitals",148,150,"Delhi Capitals","Field","Delhi Capitals","6 wickets","Dirk Nannes","SuperSport Park","Centurion","Neutral"
"Chennai Super Kings","Rajasthan Royals",164,126,"Rajasthan Royals","Field","Chennai Super Kings","38 runs","Suresh Raina","SuperSport Park","Centurion","Neutral"
"Mumbai Indians","Kolkata Knight Riders",148,139,"Mumbai Indians","Bat","Mumbai Indians","9 runs","Jean-Paul Duminy","Buffalo Park","East London","Neutral"
"Royal Challengers Bangalore","Punjab Kings",145,137,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","8 runs","Yuvraj Singh","Kingsmead","Durban","Neutral"
"Sunrisers Hyderabad","Rajasthan Royals",141,142,"Sunrisers Hyderabad","Bat","Rajasthan Royals","3 wickets","Yusuf Pathan","St George's Park","Port Elizabeth","Neutral"
"Chennai Super Kings","Delhi Capitals",163,145,"Delhi Capitals","Field","Chennai Super Kings","18 runs","Shadab Jakati","New Wanderers Stadium","Johannesburg","Neutral"
"Kolkata Knight Riders","Punjab Kings",153,154,"Kolkata Knight Riders","Bat","Punjab Kings","6 wickets","Mahela Jayawardene","St George's Park","Port Elizabeth","Neutral"
"Mumbai Indians","Royal Challengers Bangalore",149,150,"Mumbai Indians","Bat","Royal Challengers Bangalore","9 wickets","Jacques Kallis","New Wanderers Stadium","Johannesburg","Neutral"
"Chennai Super Kings","Sunrisers Hyderabad",178,100,"Chennai Super Kings","Bat","Chennai Super Kings","78 runs","MS Dhoni","Buffalo Park","East London","Neutral"
"Rajasthan Royals","Punjab Kings",211,133,"Punjab Kings","Field","Rajasthan Royals","78 runs","Graeme Smith","Kingsmead","Durban","Neutral"
"Kolkata Knight Riders","Delhi Capitals",154,157,"Kolkata Knight Riders","Bat","Delhi Capitals","9 wickets","Gautam Gambhir","Kingsmead","Durban","Neutral"
"Sunrisers Hyderabad","Mumbai Indians",145,126,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","19 runs","Rohit Sharma","SuperSport Park","Centurion","Neutral"
"Royal Challengers Bangalore","Rajasthan Royals",105,107,"Rajasthan Royals","Field","Rajasthan Royals","7 wickets","Amit Singh","SuperSport Park","Centurion","Neutral"
"Mumbai Indians","Delhi Capitals",116,118,"Mumbai Indians","Bat","Delhi Capitals","7 wickets","Ashish Nehra","Buffalo Park","East London","Neutral"
"Sunrisers Hyderabad","Punjab Kings",168,169,"Punjab Kings","Field","Punjab Kings","3 wickets","Mahela Jayawardene","De Beers Diamond Oval","Kimberley","Neutral"
"Rajasthan Royals","Chennai Super Kings",140,141,"Rajasthan Royals","Bat","Chennai Super Kings","7 wickets","S Badrinath","De Beers Diamond Oval","Kimberley","Neutral"
"Mumbai Indians","Royal Challengers Bangalore",157,141,"Mumbai Indians","Bat","Mumbai Indians","16 runs","Jean-Paul Duminy","St George's Park","Port Elizabeth","Neutral"
"Kolkata Knight Riders","Delhi Capitals",123,125,"Delhi Capitals","Field","Delhi Capitals","7 wickets","Amit Mishra","New Wanderers Stadium","Johannesburg","Neutral"
"Sunrisers Hyderabad","Rajasthan Royals",166,113,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","53 runs","Dwayne Smith","De Beers Diamond Oval","Kimberley","Neutral"
"Kolkata Knight Riders","Royal Challengers Bangalore",173,176,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","6 wickets","Ross Taylor","SuperSport Park","Centurion","Neutral"
"Punjab Kings","Mumbai Indians",119,122,"Punjab Kings","Bat","Mumbai Indians","8 wickets","Harbhajan Singh","SuperSport Park","Centurion","Neutral"
"Delhi Capitals","Sunrisers Hyderabad",173,161,"Sunrisers Hyderabad","Field","Delhi Capitals","12 runs","Rajat Bhatia","Kingsmead","Durban","Neutral"
"Chennai Super Kings","Royal Challengers Bangalore",129,132,"Chennai Super Kings","Bat","Royal Challengers Bangalore","2 wickets","Ross Taylor","Kingsmead","Durban","Neutral"
"Rajasthan Royals","Mumbai Indians",145,143,"Rajasthan Royals","Bat","Rajasthan Royals","2 runs","Shane Warne","Kingsmead","Durban","Neutral"
"Delhi Capitals","Punjab Kings",120,123,"Punjab Kings","Field","Punjab Kings","6 wickets","Brett Lee","OUTsurance Oval","Bloemfontein","Neutral"
"Mumbai Indians","Chennai Super Kings",147,151,"Mumbai Indians","Bat","Chennai Super Kings","7 wickets","Matthew Hayden","St George's Park","Port Elizabeth","Neutral"
"Kolkata Knight Riders","Sunrisers Hyderabad",160,166,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","6 wickets","Rohit Sharma","New Wanderers Stadium","Johannesburg","Neutral"
"Punjab Kings","Sunrisers Hyderabad",134,133,"Sunrisers Hyderabad","Field","Punjab Kings","1 run","Yuvraj Singh","New Wanderers Stadium","Johannesburg","Neutral"
"Delhi Capitals","Rajasthan Royals",150,136,"Delhi Capitals","Bat","Delhi Capitals","14 runs","AB de Villiers","OUTsurance Oval","Bloemfontein","Neutral"
"Chennai Super Kings","Kolkata Knight Riders",188,189,"Chennai Super Kings","Bat","Kolkata Knight Riders","7 wickets","Brad Hodge","SuperSport Park","Centurion","Neutral"
"Delhi Capitals","Royal Challengers Bangalore",134,135,"Delhi Capitals","Bat","Royal Challengers Bangalore","7 wickets","Jacques Kallis","New Wanderers Stadium","Johannesburg","Neutral"
"Rajasthan Royals","Kolkata Knight Riders",101,102,"Kolkata Knight Riders","Field","Kolkata Knight Riders","4 wickets","Laxmi Shukla","Kingsmead","Durban","Neutral"
"Chennai Super Kings","Punjab Kings",116,92,"Chennai Super Kings","Bat","Chennai Super Kings","24 runs","Muthiah Muralidaran","Kingsmead","Durban","Neutral"
"Mumbai Indians","Delhi Capitals",165,166,"Delhi Capitals","Field","Delhi Capitals","4 wickets","Virender Sehwag","SuperSport Park","Centurion","Neutral"
"Royal Challengers Bangalore","Sunrisers Hyderabad",170,158,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","12 runs","Manish Pandey","SuperSport Park","Centurion","Neutral"
"Delhi Capitals","Sunrisers Hyderabad",153,154,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","6 wickets","Adam Gilchrist","SuperSport Park","Centurion","Neutral"
"Chennai Super Kings","Royal Challengers Bangalore",146,149,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","6 wickets","Manish Pandey","New Wanderers Stadium","Johannesburg","Neutral"
"Sunrisers Hyderabad","Royal Challengers Bangalore",143,137,"Royal Challengers Bangalore","Field","Sunrisers Hyderabad","6 runs","Anil Kumble","New Wanderers Stadium","Johannesburg","Neutral"
"Kolkata Knight Riders","Royal Challengers Bangalore",222,82,"Royal Challengers Bangalore","Field","Kolkata Knight Riders","140 runs","Brendon McCullum","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Chennai Super Kings","Punjab Kings",240,207,"Chennai Super Kings","Bat","Chennai Super Kings","33 runs","Michael Hussey","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Rajasthan Royals","Delhi Capitals",129,132,"Rajasthan Royals","Bat","Delhi Capitals","9 wickets","Farveez Maharoof","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Sunrisers Hyderabad","Kolkata Knight Riders",110,112,"Sunrisers Hyderabad","Bat","Kolkata Knight Riders","5 wickets","David Hussey","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Mumbai Indians","Royal Challengers Bangalore",165,166,"Mumbai Indians","Bat","Royal Challengers Bangalore","5 wickets","Mark Boucher","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Rajasthan Royals",166,168,"Punjab Kings","Bat","Rajasthan Royals","6 wickets","Shane Watson","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Sunrisers Hyderabad","Delhi Capitals",142,143,"Sunrisers Hyderabad","Bat","Delhi Capitals","9 wickets","Virender Sehwag","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Chennai Super Kings","Mumbai Indians",208,202,"Mumbai Indians","Field","Chennai Super Kings","6 runs","Matthew Hayden","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Sunrisers Hyderabad","Rajasthan Royals",214,217,"Rajasthan Royals","Field","Rajasthan Royals","3 wickets","Yusuf Pathan","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Punjab Kings","Mumbai Indians",182,116,"Mumbai Indians","Field","Punjab Kings","66 runs","Kumar Sangakkara","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Kolkata Knight Riders","Chennai Super Kings",147,152,"Kolkata Knight Riders","Bat","Chennai Super Kings","9 wickets","Jacob Oram","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Royal Challengers Bangalore","Rajasthan Royals",135,138,"Rajasthan Royals","Field","Rajasthan Royals","7 wickets","Shane Watson","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Delhi Capitals","Punjab Kings",158,162,"Delhi Capitals","Bat","Punjab Kings","4 wickets","Simon Katich","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Mumbai Indians","Sunrisers Hyderabad",154,155,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","10 wickets","Adam Gilchrist","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Chennai Super Kings","Royal Challengers Bangalore",178,165,"Chennai Super Kings","Bat","Chennai Super Kings","13 runs","MS Dhoni","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Kolkata Knight Riders","Mumbai Indians",137,138,"Kolkata Knight Riders","Bat","Mumbai Indians","7 wickets","Sanath Jayasuriya","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Royal Challengers Bangalore",191,181,"Royal Challengers Bangalore","Field","Delhi Capitals","10 runs","Glenn McGrath","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Rajasthan Royals","Kolkata Knight Riders",196,151,"Rajasthan Royals","Bat","Rajasthan Royals","45 runs","Swapnil Asnodkar","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Sunrisers Hyderabad","Punjab Kings",164,167,"Punjab Kings","Field","Punjab Kings","7 wickets","Shaun Marsh","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Chennai Super Kings","Delhi Capitals",169,172,"Chennai Super Kings","Bat","Delhi Capitals","8 wickets","Virender Sehwag","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Royal Challengers Bangalore","Sunrisers Hyderabad",156,153,"Sunrisers Hyderabad","Field","Royal Challengers Bangalore","3 runs","Praveen Kumar","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Punjab Kings","Kolkata Knight Riders",178,169,"Punjab Kings","Bat","Punjab Kings","9 runs","Irfan Pathan","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Mumbai Indians","Delhi Capitals",162,133,"Delhi Capitals","Field","Mumbai Indians","29 runs","Shaun Pollock","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Chennai Super Kings","Rajasthan Royals",109,110,"Chennai Super Kings","Bat","Rajasthan Royals","8 wickets","Sohail Tanvir","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Royal Challengers Bangalore","Punjab Kings",126,127,"Punjab Kings","Field","Punjab Kings","6 wickets","Sreesanth","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Chennai Super Kings","Sunrisers Hyderabad",144,148,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","7 wickets","Adam Gilchrist","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Rajasthan Royals","Mumbai Indians",103,104,"Mumbai Indians","Field","Mumbai Indians","7 wickets","Ashish Nehra","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Delhi Capitals","Chennai Super Kings",187,188,"Chennai Super Kings","Field","Chennai Super Kings","4 wickets","MS Dhoni","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Sunrisers Hyderabad","Rajasthan Royals",140,141,"Rajasthan Royals","Field","Rajasthan Royals","8 wickets","Yusuf Pathan","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Chennai Super Kings","Punjab Kings",181,163,"Punjab Kings","Field","Chennai Super Kings","18 runs","Lakshmipathy Balaji","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Kolkata Knight Riders","Sunrisers Hyderabad",204,181,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","23 runs","Sourav Ganguly","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Delhi Capitals","Rajasthan Royals",156,159,"Rajasthan Royals","Field","Rajasthan Royals","3 wickets","Shane Watson","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Royal Challengers Bangalore","Punjab Kings",143,144,"Royal Challengers Bangalore","Bat","Punjab Kings","9 wickets","Shaun Marsh","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Kolkata Knight Riders","Delhi Capitals",133,110,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","23 runs","Shoaib Akhtar","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Chennai Super Kings","Mumbai Indians",156,158,"Mumbai Indians","Field","Mumbai Indians","9 wickets","Sanath Jayasuriya","Wankhede Stadium","Mumbai","Mumbai Indians"
"Delhi Capitals","Sunrisers Hyderabad",194,182,"Sunrisers Hyderabad","Field","Delhi Capitals","12 runs","Amit Mishra","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Kolkata Knight Riders","Mumbai Indians",67,68,"Mumbai Indians","Field","Mumbai Indians","8 wickets","Shaun Pollock","Wankhede Stadium","Mumbai","Mumbai Indians"
"Rajasthan Royals","Royal Challengers Bangalore",197,132,"Royal Challengers Bangalore","Field","Rajasthan Royals","65 runs","Graeme Smith","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Kolkata Knight Riders","Chennai Super Kings",149,55,"Kolkata Knight Riders","Bat","Chennai Super Kings","3 runs","Makhaya Ntini","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Mumbai Indians","Sunrisers Hyderabad",178,153,"Sunrisers Hyderabad","Field","Mumbai Indians","25 runs","Dwayne Bravo","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Royal Challengers Bangalore","Delhi Capitals",154,158,"Delhi Capitals","Field","Delhi Capitals","5 wickets","Shreevats Goswami","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Kolkata Knight Riders","Rajasthan Royals",147,150,"Rajasthan Royals","Field","Rajasthan Royals","6 wickets","Yusuf Pathan","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Punjab Kings","Mumbai Indians",189,188,"Mumbai Indians","Field","Punjab Kings","1 run","Shaun Marsh","Wankhede Stadium","Mumbai","Mumbai Indians"
"Royal Challengers Bangalore","Chennai Super Kings",126,112,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","14 runs","Anil Kumble","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Sunrisers Hyderabad","Punjab Kings",175,178,"Punjab Kings","Field","Punjab Kings","6 wickets","Shaun Marsh","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Rajasthan Royals","Chennai Super Kings",211,201,"Rajasthan Royals","Bat","Rajasthan Royals","10 runs","Albie Morkel","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Mumbai Indians","Delhi Capitals",176,179,"Delhi Capitals","Field","Delhi Capitals","5 wickets","Dinesh Karthik","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Sunrisers Hyderabad","Royal Challengers Bangalore",165,171,"Sunrisers Hyderabad","Bat","Royal Challengers Bangalore","5 wickets","Vinay Kumar","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Punjab Kings","Kolkata Knight Riders",174,175,"Punjab Kings","Bat","Kolkata Knight Riders","3 wickets","Umar Gul","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Mumbai Indians","Rajasthan Royals",145,146,"Rajasthan Royals","Field","Rajasthan Royals","5 wickets","Sohail Tanvir","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Sunrisers Hyderabad","Chennai Super Kings",147,148,"Sunrisers Hyderabad","Bat","Chennai Super Kings","7 wickets","Suresh Raina","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Punjab Kings","Rajasthan Royals",221,180,"Rajasthan Royals","Field","Punjab Kings","41 runs","Shaun Marsh","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Rajasthan Royals","Delhi Capitals",192,87,"Delhi Capitals","Field","Rajasthan Royals","105 runs","Shane Watson","Wankhede Stadium","Mumbai","Neutral"
"Punjab Kings","Chennai Super Kings",112,116,"Punjab Kings","Bat","Chennai Super Kings","9 wickets","Makhaya Ntini","Wankhede Stadium","Mumbai","Neutral"
"Chennai Super Kings","Rajasthan Royals",163,164,"Rajasthan Royals","Field","Rajasthan Royals","3 wickets","Yusuf Pathan","Dr DY Patil Sports Academy","Mumbai","Neutral"
