"team1","team2","team1_score","team2_score","toss_winner","toss_choice","winner","margin","man_of_the_match","stadium","place","Home_Ground"
"Punjab Kings","Delhi Capitals",171,164,"Delhi Capitals","Field","Punjab Kings","7 runs","David Miller","Punjab Cricket Association IS Bindra Stadium","Dharamsala","Neutral"
"Sunrisers Hyderabad","Rajasthan Royals",136,113,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","23 runs","Amit Mishra","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Punjab Kings","Mumbai Indians",183,133,"Mumbai Indians","Field","Punjab Kings","50 runs","Azhar Mahmood","Punjab Cricket Association IS Bindra Stadium","Dharamsala","Neutral"
"Pune Warriors","Delhi Capitals",172,134,"Pune Warriors","Bat","Pune Warriors","38 runs","Luke Wright","Maharashtra Cricket Association Stadium","Pune","Pune Warriors"
"Kolkata Knight Riders","Sunrisers Hyderabad",130,132,"Kolkata Knight Riders","Bat","Sunrisers Hyderabad","5 wickets","Parthiv Patel","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Chennai Super Kings","Mumbai Indians",192,144,"Chennai Super Kings","Bat","Chennai Super Kings","48 runs","Michael Hussey","Arun Jaitley Stadium","Delhi","Neutral"
"Sunrisers Hyderabad","Rajasthan Royals",132,135,"Sunrisers Hyderabad","Bat","Rajasthan Royals","4 wickets","Brad Hodge","Arun Jaitley Stadium","Delhi","Neutral"
"Rajasthan Royals","Mumbai Indians",165,169,"Rajasthan Royals","Bat","Mumbai Indians","4 wickets","Harbhajan Singh","Eden Gardens","Kolkata","Neutral"
"Mumbai Indians","Chennai Super Kings",148,125,"Mumbai Indians","Bat","Mumbai Indians","23 runs","Kieron Pollard","Eden Gardens","Kolkata","Neutral"
"Chennai Super Kings","Mumbai Indians",112,115,"Mumbai Indians","Field","Mumbai Indians","8 wickets","Richard Levi","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
